"japanese_translation","phrase","category","part_of_speech","explanation"
"最後に笑ったのは私だった。","I got the last laugh.","キメの一言","過去のこと","「最後に勝利したのは…」、「最後に笑うのは…」は
「get the last laugh」又は「have the last laugh」という表現があります。
この「laugh」は珍しく名詞として使っています。
他にも
Who got the last laugh?
（最後に笑ったのは誰なのか？）
I’m gonna have the last laugh.
（最後に勝利するのは私だ）
Who’s gonna have the last laugh?
（最後に笑うのは誰なのか？）"
"桜は3月に咲きます。","The cherry blossoms bloom in March.","天気","普段のこと・習慣","「be in bloom（咲いている状態）」の「bloom」は名詞ですが、動詞の「bloom（咲く）」もあります。
動詞の「bloom」は状態ではなくて「咲く」という変化です。
たとえば
The cherry blossoms bloom in March.
（桜は3月に咲きます）
When do the cherry blossoms bloom?
（桜はいつ咲くの？）
The cherry blossoms are starting to bloom.
（桜が咲き始めた）"
"桜が満開です。","The cherry blossoms are in full bloom.","遊び","","「be in bloom」は「咲いている」という英語です。
たとえば
The roses are in bloom.
（バラが咲いている）
The plum blossoms are not in bloom yet.
（梅はまだ咲いてない）
そして「be in full bloom」は「満開だ」という意味です。
他にも
The cherry blossoms are 50% in bloom.
（５分咲き）
The cherry blossoms are 30% in bloom.
（３分咲き）"
"よりを戻した。","We got back together.","恋愛","過去のこと","「よりを戻す」、「よりが戻る」は「get back together」と言います。
この３つの単語を１つの動詞として覚えましょう。
たとえば
He wants to get back together.
（彼がよりを戻したがっている）
We're not gonna get back together.
（よりが戻らなそう）
He got back together with his ex.
（彼は元カノとよりを戻した）"
"彼は運命の人かもしれない。","He could be the one.","恋愛","","「You are the one who wanted to go.（行きたかったのは君だろう？）」のように「the one who ~」と続いている場合は「～したのは君だろう？」という意味にはなりますが
「the one」で終わると「運命の人」という意味になります。
「You are the one.」は「君は運命の人だ」という意味ですね。
そして「could」は「かもしれない」、「ありえる」という意味です。
元々は「can」の過去形ですが、過去に対して使うことよりも、「仮定法」として現在や未来のことを表すことが多いです。
たとえば
You could be right.
（君の言う通りかもしれない）
He could find out.
（彼にバレるかもしれない）"
"一緒に歳をとりましょう。","Let’s grow old together.","恋愛","形容詞","プロポーズの言葉としても使われる有名な言葉ですね。普通に「歳をとる」は「get old」が一般的です。
たとえば
I’m getting old.
（歳をとったな）
I wanna go before I get old.
（歳をとる前に行きたい）
しかし、このロマンティックな感じの言い方では必ず「grow old」としか言いません。
他にも
I wanna grow old with you.
（あなたと一緒に歳をとりたい）"
"アラームが鳴った。","My alarm went off.","家の中 / 電話・パソコン","過去のこと","目覚ましのアラームや警報のアラームが「鳴る」は「go off」と言います。「鳴る」が「on」じゃなくて「off」という言い方には驚く人も多いですけどこう言います。
たとえば
My alarm didn’t go off.
（【目覚ましの】アラームがならなかった）
A car alarm went off in the middle of the night.
（深夜に自動車盗難警報が鳴った）
The smoke alarm went off.
（煙警報器が鳴った）"
"もう少しで終電に乗り遅れるところだった。","I almost missed the last train.","交通","過去のこと","「過去形の文」に「almost」を入れると「もう少しで～するところだった」という表現になります。
つまり「I missed the last train. （終電に乗り遅れた）」に「almost」を入れたという英語ですね。
「もう少しで乗り遅れるところだった」ということは結局は終電に乗れたということですね。
他にも
I almost died.
（もう少しで死ぬとこだった）
I was almost late.
（もう少しで遅れるところだった）
I almost didn’t go.
（もう少しで行かないところだった）"
"終電に乗り遅れた。","I missed the last train.","交通 / 遊び","過去のこと","「miss」は「恋しい」以外にも「～し損ねる」という意味もあります。
たとえば
I missed lunch.
（昼食を食べ損ねた）
I missed the train.
（電車に乗り損ねた）
I missed my flight.
（飛行機に乗り遅れた）
他にも
Don’t miss the last train.
（終電を逃さないでね）
I don’t want to miss my flight.
（飛行機に乗り遅れたくない）"
"一緒に行く人がいない。","I have no one to go with.","","","「I have nothing to say.（話すネタがない）」のように「have nothing to 動詞」という文型はよく使います。
「nothing」と同じように「no one」、「nowhere」なども使えます。
たとえば
I have no one to talk to.
（相談する人がいない）
I have nowhere to go.
（行く場所がない）
I have nowhere to stay.
（泊まる所がない）"
"話すネタがない。","I have nothing to talk about.","遊び","to 不定詞","I have something to say.
（言わなきゃいけないことがある）
のように、
「have 名詞 to 動詞」という文型は本当によく使います。
そして「have nothing to 動詞」と「nothing」を使えば「する～がない」という意味になります。
たとえば
I have nothing to wear.
（着る服がない）
I have nothing to say.
（言うことは何もない）
I have nothing to do.
（やることがないよ）
You have nothing to worry about.
（心配することは何もないよ）"
"今から飛行機なの。","I have a plane to catch.","交通 / 旅行","to 不定詞","この「have 名詞 to 動詞」という文型は本当によく使います。
「する～がある」、「しなきゃいけない～がある」という意味です。
たとえば
I have work to do.
（やらなきゃいけない仕事がある）
I have a deadline to meet.
（間に合わせなきゃいけない締め切りがある）
I have a family to feed.
（養わなきゃいけない家族がいる）
I have somewhere to go.
（ちょっと行く所がある）
I have something to say.
（言いたいことがある）"
"彼が浮気しているように聞こえる。","It sounds like he's cheating.","五感 / 恋愛","今のこと・一時的なこと","人の話を聞いて「～のように聞こえる」、「～っぽいね」と言いたいときは
「It sounds like ＋文」を使います。
たとえば
It sounds like he likes you.
（彼が君のことが好きなんじゃない？）
It sounds like she's not gonna come.
（その話を聞くと、彼女は来なさそうな感じがするね）
It sounds like you need a holiday.
（休みが必要そうだね）
そして「cheat」は「浮気する」という意味です。
たとえば
She cheated.
（彼女が浮気した）
「look, sound, smell, taste, feel」（五感の動詞）の使い方は、ぜひこちらの動画をご覧ください^^"
"日本が3対2で勝っている。","Japan is winning 3 to 2.","スポーツ","今のこと・一時的なこと","試合中は進行形の「Japan is winning.」、
試合後は過去形の「Japan won.」になります。
そして「3 to 2（3対2）」「2 to 0（2対0）」などとスコアを続けるだけです。
ちなみに「to」を省略して
「3-2（three two）」、「2-0（two zero）」などと言うことが非常に多いです。"
"今、何対何？","What's the score?","スポーツ","","スポーツの試合などで「今、何対何？」と聞くときは必ずこうしか言いません。
「How many points?」のような不自然な言い方をよく耳にしますがほとんど通じません。
試合が終わっている場合は
What was the score?
（何対何だったの？）
と過去形にします。
他にも
Who's winning?
（どっちが勝っているの？）
Who won?
（どっちが勝ったの？）
も覚えておきましょう。"
"お酒はあんまり好きじゃない。","I'm not big on alcohol.","性格 / 遊び","普段のこと・習慣","「I'm not big on ~」は「～があまり好きじゃない」という意味のよく使う表現です。「on」の後は名詞か動詞のingが続きます。
たとえば
I'm not big on Chinese.
（中華料理はそんなに好きじゃない）
I'm not big on parties.
（パーティーはあまり得意じゃない）
I'm not big on drinking.
（あまり呑む方じゃない）"
"最近、何しているの？","What have you been up to?","遊び","完了形","最近のことを話すときは大体「have been」を使います。
「have been」の後には形容詞、又は動詞のingを続けます。
たとえば
I've been busy.
（最近忙しい）
I've been eating out.
（最近よく外食する）
I haven't been exercising.
（最近運動してない）
What have you been doing?
（最近何してるの？）
そして、
「What have you been doing?」の代わりに
「What have you been up to?」を使うことも多いです。
言われて理解できるように覚えておきましょう。
詳しくは、こちらの動画をぜひ観てみてください："
"スーツなんか着てどうしたの？","What’s with the suit?","ファッション・身だしなみ","","「その～はどうしたの？」は「What’s with the ~?」という表現があります。
たとえば
What’s with the flowers?
（花束なんか持ってどうしたの？）
What’s with the long face?
（浮かない顔してどうしたの？）
What’s with the attitude?
（何だ、その態度は？）"
"そうは絶対にならない。","That’s not going to happen.","キメの一言","未来のこと","たとえば「クビになったらどうしよう！」、「彼氏にバレたらどうしよう！」などと未来のことを心配している人を
That’s not going to happen.
（そうはならないよ、大丈夫だよ）
と励ますときにも使いますし、
「ね、車貸してよ」と無茶なお願いをされたときに
That’s not going to happen!
（ないないないないない）
と最初から断じて断るときにも使います。
「これからもそういうことはないから諦めて」としつこい男にも使います。"
"私はお酒を飲まない人です。","I don't drink.","遊び","普段のこと・習慣","「drink」の後にコーヒーやオレンジジュースなどが続けば違いますが、
「drink」だけだと「お酒を飲む」という意味になります。
そして現在形を使っているところが重要なポイントです。
現在形は「今のこと」じゃなくて「いつもの習慣」を表すものなので、
「今日は飲まない」という意味じゃなくて「飲まない人です」と言い切っている感じです。
他にも
I don't smoke.
（タバコを吸わない人）
I don't wear makeup.
（いつもすっぴん）
I don't watch TV.
（全然テレビを観ない）"
"食欲大勢です。","I have a big appetite.","レストラン・食べ物 / 健康・体調","","「appetite」は「食欲」という意味の名詞で、「have an appetite」は「食欲がある」という意味のフレーズですね。
他にも
I have a small appetite.
（小食です）
I don’t have an appetite.
（今、食欲がない）
I lost my appetite.
（食欲を失せた）"
"飛行機が苦手。","I'm scared of flying.","交通 / 性格","動名詞","「I'm scared of ＋名詞」は「~が怖い」という意味です。
たとえば
I'm scared of heights.
（高所恐怖症です）
I'm scared of dogs.
（犬が苦手）
でも「I’m scared of airplanes.」とは言いません。
飛行機そのものが怖いのではなくて、自分が飛行機に乗って空を飛ぶのが怖いので「fly（空を飛ぶ）」という動詞を使います。
名詞の代わりに動詞を置き換えるときはingにするだけなので
「I'm scared of flying.」になります。"
"早く治るといいですね。","I hope you get better soon.","健康・体調","未来のこと","「I hope（～だといいな）」には文が続きますが、使い方がちょっと例外的で「未来のこと」を現在形で言うのが一般的です。
他にも
I hope he comes.
（彼が来るといいな）
I hope she doesn’t get angry.
（彼女が怒らないといいな）
I hope I get promoted.
（昇格できるといいな）
I hope it doesn’t rain.
（雨が降らないといいね）"
"来年NYに引っ越します。","I’m moving to NY next year.","仕事 / 家の中","未来のこと","未来のことを進行形で言うことができます。
「近い未来なら進行形」というのはよくある誤解ですが、
英語では「近い未来」、「遠い未来」の使い分けはありません。
本当は「既に決まっている未来のこと」、「既にたっている予定」なら進行形で言うのです。
「next year」は近い未来じゃないけど、既にたっている予定なので進行形で言います。
逆に、電話で話していて邪魔が入って「５分後に掛け直す」はとっても近い未来だけど「既にたっている予定」ではなくて
「今決めたこと」なので進行形は使いません。
ちなみに「既にたっている予定」に対して「will」は使えないので注意しましょう。
たとえば「明日は仕事だ」は「既にたっている予定」なので「I will work tomorrow.」とは言いません。
「I’m working tomorrow.」と言います。この使い分けはややこしいですが、どんな未来に対しても「be going to」はいつでも使えるのでお勧めです。
詳しくは、こちらの動画をぜひ観てみてください^^"
"最近彼は忙しい。","He’s been busy.","仕事","今のこと・一時的なこと","「最近よくすること」、「最近ずっと」を「I've been ~」で表しますね。
「He / She / It」なら「have」が「has」になるのですが、
「I have」が「I’ve」に短縮されると同じように「He has」も「He’s」に短縮されます。
「He is」も「He’s」ですが、「He has」も「He’s」になりますね。
たとえば
She’s been stressed.
（最近彼女はストレスが溜まっている）
It’s been warm.
（最近暖かいね）
動詞なら「ing」を使います。
たとえば
He’s been doing overtime.
（最近彼は残業が多い）
She’s been calling.
（最近彼女がよく電話してくる）
It’s been raining.
（最近雨が多い）
詳しくは、こちらの動画をぜひ観てみてください^^"
"最近忙しい。","I’ve been busy.","仕事","今のこと・一時的なこと","「最近よくすること」、「最近ずっと」を「I've been ~」で表します。動詞なら「ing」の形で続きます。
たとえば
I've been eating out.
（最近外食が多い）
I've been doing overtime.
（最近残業が多い）
形容詞ならそのまま続きます。
たとえば
I've been stressed.
（最近ストレスが溜まっている）
I've been sick.
（最近具合が悪い）
I've been good.
（最近元気だよ）
詳しくは、ぜひこちらの動画を観てみてください^^"
"私たちは同い年です。","We're the same age.","","形容詞","「I am as old as you.」という言い方もできますが、大体はこの言い方をします。
「same」という単語には必ず「the」が付きます。
たとえば
I'm the same.
（私も同じです）
We live in the same building.
（同じマンションに住んでいる）
I have the same bag.
（私も同じバッグを持っている）
We have the same taste in music.
（音楽の趣味が同じ）"
"彼は独占欲が強い。","He's possessive.","性格 / 恋愛","形容詞","「possessive（ポゼシヴ）」は「独占欲が強い」という形容詞です。
恋愛の「束縛する」も「possessive」を使います。
たとえば
He's possessive.
（私のことを束縛するの）
Don't be possessive.
（束縛しないで）
I don't like possessive guys.
（束縛する男は好きじゃない）
ちなみに「possessed（霊に取り付かれている）」という単語と間違えないように気を付けましょう。"
"手伝おうか？","Need a hand?","仕事","","「Do you need a hand?」の省略です。動詞を使うときは「need to」と「to」が必要ですが「a hand」は名詞なので「need」に直接続けます。
たとえば
I need a holiday.
（休みがほしい）
I don't need that.
（それは要らない）
「a hand」は日本語の「手を貸す」と同じような言い方で「手伝う」という意味です。
たとえば
Give me a hand.
（手を貸して）
I could use a hand.
（人の手を借りられたらありがたい）"
"お決まりですか？","Are you ready to order?","レストラン・食べ物","to 不定詞","「order」は「注文する」という動詞です。「Are you ready?」は「準備はOKですか？」という質問ですね。
「ready」のあとは「to ＋動詞」もしくは「for ＋名詞」が続きます。
たとえば
Are you ready to go?
（行く準備できた？）
Are you ready for the meeting?
（会議の用意はいいか？）
I'm ready to start.
（始める準備はOKです）
I' m not ready for school.
（学校の用意はまだできてない）
逆に
「Excuse me, we're ready to order.」と言ってウェーターを呼ぶこともできます。"
"ただほど怖いものはない。","There’s no such thing as a free lunch.","キメの一言","","直訳は「無料のランチなんて存在しない」ですが、
日本語の「ただほど怖いものはない」と全く同じ意味の決まり文句です。
「lunch」を使っている決まり文句ですが、もちろん食べ物の話ではありません。日本語の「ただほど怖いものはない」と同じ使い方をします。
ちなみに
「There’s no such thing as ＋名詞」は「～なんて存在しない」という表現です。
たとえば
There’s no such thing as monsters.
（怪物なんて存在しない）
There’s no such thing as an honest politician.
（嘘をつかない政治家なんて存在しない）"
"（食べた後に）満足！","That hit the spot.","五感","過去のこと","食事したあと、又は飲み物を飲んだあとに
「That hit the spot.」という決まり文句をよく使います。
イメージは「痒かったところをかいた」ときの気持ちです。
「the spot」は「足りなかったところ」、「hit」は「当てる」で、「欲求を満たす」というような表現です。
「ちょうどこれが欲しかった」のような表現です。
たとえば
That beer really hit the spot.
（今のビールが必要だったよ）"
"彼は私をこき使っている。","He walks all over me.","家の中 / 恋愛 / 諺・おもしろ表現","普段のこと・習慣","「walk all over 人」は「踏みつけている」イメージですが「こき使う」という意味の英語です。
たとえば
My kids walk all over me.
（子供にこき使われているよ）
Don’t let her walk all over you.
（彼女が君をこき使うのを許すなよ）"
"２名でお願いします。","A table for 2, please.","遊び","","言い方はこれだけでいいです。
「I would like...」、「Could we get...」も付けてもいいのですが必要ありません。
日本語で「席」と言うけど、英語では「table」を使います。
たとえば
I couldn't get a table.
（席がとれなかった）
I got us a table.
（席をとったよ）
Could we get a table by the window?
（窓際席をお願いします）"
"こちらへどうぞ。","If you'll follow me?","レストラン・食べ物","","「if（もし～なら）」の後は未来のことでも未来形は使いません。
「if」の後は未来のことでも現在形を使います。
たとえば
I'll go if you go.
（あなたが行くなら私も行く）
I'm not gonna go if it rains.
（もし雨が降ったら行かない）
しかし、１つだけ例外があります。
「if」の後に「will」を付けて「～してください」という意味のとても丁寧な表現があります。
たとえば
If you'll follow me.
（こちらへどうぞ）
If you'll excuse me.
（失礼させてください）"
"監査を受けた。","We got audited.","仕事","受け身","「audit（監査）」という名詞もありますが、「audit ＋人・会社（監査する）」という動詞もあります。
１番よく使われるのは、その動詞の受動態（される）の「get audited（監査を受ける）」です。
たとえば
We’re getting audited.
（今、監査中）
Have you ever gotten audited?
（監査を受けたことある？）
Getting audited sucks.
（監査を受けるのは最悪だ）"
"認知度を上げなきゃ。","We need to boost our brand recognition.","仕事","to 不定詞","商品やブランドの「認知度」は英語では
「brand recognition」、又は「brand awareness」と言います。
たとえば
Our brand recognition is not bad.
（認知度は悪くない）
Our brand recognition is getting better.
（認知度がよくなってきた）
そして「boost」は「上げる」という意味の動詞です。
たとえば
We need to boost our sales.
（売り上げを上げないと）"
"それを翻訳してもらった。","I got it translated.","仕事","受け身","この文型はよく使います。「～を～してもらう」は「get ＋名詞　＋過去分詞」で言います。
たとえば
I got my nails done.
（ネイルをやってもらった）
I got it delivered.
（それを配達してもらった）
I’m getting my car fixed.
（車を直してもらっている）
I’m gonna get it translated.
（これを翻訳してもらうつもり）"
"マラソンに参加した。","I went in a marathon.","スポーツ","過去のこと","「参加する」は「join」だと思っていませんか？実は違います。
「join」は「入会する」、「入部する」という意味です。
たとえば
I joined an English school.
（英会話教室に入会した）
I joined the company 3 years ago.
（３年前に入社した）
大会・コンペなどに「参加する」は「go in」と言います。
たとえば
I went in a speech contest.
（弁論大会に参加した）"
"ジョギングをやってます。","I jog.","スポーツ / 健康・体調","普段のこと・習慣","「ジョギング」と日本語ではing形でしか言いませんが、元はと言えば「jog」という動詞ですね。
「サーフィン」も同じように元々は「surf」という動詞です。
「ing」で終わる単語はすべて、実はingなしの動詞の原型もあります。
たとえば
「shopping」も「shop（買い物する）」という動詞の原型もあるし、
「fishing」も「fish（魚釣りをする）」という動詞の原型もあるし、
「bowling」も「bowl（ボーリングする）」という動詞の原型もあります。
その原型が使われるのは特に「普段の習慣」を表す「現在形」のときが多いです。
たとえば
Do you jog?
（ジョギングはするの？）
I shop there a lot.
（よくそこで買い物するよ）
Do you fish?
（魚釣りはやるの？）
I don't bowl.
（ボーリングができない）"
"昔は姉のお下がりを着ていた。","I used to wear my sister’s hand-me-downs.","ファッション・身だしなみ / 家の中","to 不定詞","「I used to ＋動詞」は「以前は～だった」、「昔は～していた」という英語です。
たとえば
I used to live in New York.
（昔はNYに住んでいた）
I used to be shy.
（昔はシャイだった）
そして「hand-me-down(s)」は「お下がり」という英語です。
単数なら「a hand-me-down」、複数なら「hand-me-downs」ですね。
たとえば
This is a hand-me-down from my sister.
（これは姉のお下がりです）"
"チクったら痛い目にあうぞ。","Snitches get stitches.","キメの一言 / 被害・トラブル","普段のこと・習慣","「snitch（スニッチ）」は「チクり野郎」というスラングです。
そして「get stitches」は「（ケガをして）針を縫う」という意味です。
一般的な話をするときは、「現在形」にして、数えられる名詞を複数で言うので「snitches」と複数形です。
「チクり野郎はケガをするものだ」というような直訳ですが、「チクったら痛い目にあうぞ」という脅しです。
「snitches」と「stitches」は韻を踏んでいるので非常にゴロのいい英語です。
そんなシリアスな話じゃなくても、たとえば「合コンに行ったことを彼女に言うなよ」のような場面でもジョークとして使えます。
英語では韻を踏むことが多くて、韻を踏んでいると語呂がいいおもしろ表現になります。
他にも
He's too cool for school.
（厨二病）
You’ve gotta be in it to win it.
（勝つためには、まずは参加しなきゃ）
Let's not play the blame game.
（責任のなすり合いはやめよう）
She's got the skills to pay the bills.
（彼女はそれで食べていけるほど有能だ）
It's make or break time.
（一か八かの大勝負だ）
Fake it till you make it.
（成功するまで、成功しているフリをしろ）
Snitches get stitches.
（チクったら痛い目にあうぞ）
He’s my brother from another mother.
（彼は俺のマブダチです）"
"５針縫った。（ケガ）","I got 5 stitches.","健康・体調 / 被害・トラブル","過去のこと","ケガしたときに、ケガの大きさを「～針」で説明しますね。
英語では「get ~ stitches」とだけ言います。
「The doctor sewed up the cut with 5 stitches.」のように長い言い方はせずに
「I got 5 stitches.」とだけ言います。
他にも
Did you get any stitches?
（縫ったの？）
How many stitches did you get?
（何針縫ったの？）"
"青はすごく似合うね。","Blue is your color!","ファッション・身だしなみ / 買い物","","「青が似合う」は他にも
「Blue looks good on you.」
「You look good in blue.」という言い方も大正解ですが、
今回は「~ is your color.」という表現も覚えましょう。
「１番似合う色」というニュアンスもあって、そして他のフレーズと違って、洋服だけでなく髪の色も言えます。
たとえば
Blonde is your color.
（金髪が１番似合うね）"
"これで悩みが１つ減ったね。","That’s one less thing to worry about.","キメの一言 / 仕事","to 不定詞","悩みが色々あって取り合えず１つクリアできたときに使う決まり文句です。
「a thing to worry about」は１つの名詞で「悩み」、
「one less」が「１つ少ない」、「１つ減る」という意味ですね。
「less」を「more」に変えたり、「worry about」を「think about」に変えたりして応用もできます。
たとえば
That’s one more thing to worry about.
（悩みが１つ増えたね）
That’s one less thing to think about.
（考えなきゃいけないことが１つ減ったね）
That’s one more thing to think about.
（考えなきゃいけないことが１つ増えたね）"
"休み明けの初日がキツかった。","The first day back at work was brutal.","仕事","形容詞","「the first day back at work」は「休み明けの仕事の初日」という意味です。
学生なら「the first day back at school」ですね。
「brutal」は「残忍」、「冷酷」という意味の形容詞ですが、口語体では「厳しい」、「キツイ」という意味で使うことが多い。
他にも
How was your first day back at work?
（休み明けの初日はどうだった？）
The training was brutal.
（訓練がきつかった）"
"メールはすべてCCしてくれる？","Can you cc me on all emails?","仕事 / 電話・パソコン","","たとえば部下の取引先とのやり取りが見たい時などによく使う英語です。
「carbon copy」の略である「cc」を動詞として使えます。
たとえば
Can you cc me on all emails related to this project?
（このプロジェクトに関するメールはすべてCCしてくれる？）
I cc’ed him.
（彼をCCに入れた）
I’ll cc you.
（君をCCに入れるね）"
"常に効率を求めている。","I’m all about efficiency.","仕事 / 性格","","「efficiency（効率性）」は名詞、「efficient（効率的）」は形容詞ですが、
今回のポイントは「I’m all about ~」という表現です。
「I’m all about ~」は「～を最も重視している」というような意味です。
「about」に続くのは名詞、又は動名詞（動詞のing形）です。
たとえば
We’re all about communication.
（我が社はコミュニケーションを最も大切にしている）
I’m all about trying new things.
（新しいことに挑戦することが大好き）"
"完治しました。","I’m all better.","健康・体調","形容詞","「治った」は「I’m better.」と言いますが、「all」を入れるだけで「完治した」という意味になります。
「治ったの？」も「Are you better?」と言いますが、
これも「all」を入れて
Are you all better?（完治したの？）
になります。"
"出過ぎたまねをして申し訳ありません。","I’m sorry I was out of line.","仕事","過去のこと","「I’m sorry」の１番一般的な使い方は「I’m sorry ＋文」という形です。
たとえば
I’m sorry I’m late.
（遅刻してすみません）
I’m sorry I didn’t tell you.
（伝えてなくてすみません）
そして、「I was out of line.」は「出過ぎた真似をした」という意味の決まり文句です。
他にも
You’re out of line.
（出過ぎたまねをしているぞ）"
"寝ぼけている。","I’m half-asleep.","健康・体調","形容詞","「asleep」は「眠っている」という意味の形容詞で、「half-asleep」は「半分眠っている」ということになりますね。
「寝ぼけている」は英語でこう言います。書き方は「half asleep」でも「half-asleep」でも正解です。
たとえば
I’m still half asleep.
（まだ寝ぼけている）
You look half asleep.
（寝ぼけてそうだね）"
"運転している姿がかっこいい。","You look good driving.","五感 / 交通 / 遊び","奇跡の応用法","「You look good.」は「かわいい・かっこいい」という意味の完結している文です。
英語では、完結している文の最後に「動詞のing」を付け足す便利な応用ができます。
今回のフレーズは「You look good.」に「driving」を付け足して「運転している姿がかっこいい」という応用です。
他にも
You look good working.
（働いてる姿がかっこいい）
You look good sleeping.
（寝顔がかわいい）
この「文にちょい足しする」大変な便利な応用をマスターしたい人はぜひこちらのYouTube動画を観てみてください："
"税関を通るのが大変だった。","It was hell getting through customs.","旅行","奇跡の応用法","「It was hell.（地獄だった）」は「大変だった」の大げさな言い方です。
そして「get through customs」は「税関を通る」という意味です。
英語では、文の最後に「動詞のing」を付け足すことができます。
たとえば
・I'm busy.に「working」を付け足して
I'm busy working.
（働いていて忙しい）
・He came home.に「crying」を付けて
He came home crying.
（彼は泣きながら帰ってきた）
・I cut my finger.に「cooking」を付け足して
I cut my finger cooking.
（料理をしていたら指を切っちゃった）
今回のフレーズは「It was hell.」という文に「getting through customs」と動詞のingを付け足していますね。"
"（男女の話で）手が早いね！","You don’t waste any time!","キメの一言 / 恋愛","","好きな人ができたらすぐに行動する人、いつの間にデートしている人にこう言います。
直訳は「君は時間を一切無駄にしないね」ですが、「手が早い！」の決まり文句ですね。
他にも
「You move fast!」という言い方もあります。
ちなみに「waste ~（～を無駄にする）の他の例文として
Don’t waste water.
（水を無駄にしないで）
I wasted money.
（お金を無駄にした）
Don’t waste this chance!
（このチャンスを無駄にしないで）"
"バズった。","It went viral.","電話・パソコン","形容詞","SNSでたくさんの人にシェアされて投稿が「バズる」と日本語で言いますが、英語では「go viral」と言います。
「viral（ヴァイラル）」は「virus（ヴァイラス）（日本語ではウィルス）」という名詞の形容詞形です。
ウィルスのように広まるというイメージです。
日本語でも「ヴァイラルマーケティング」などで使う「viral」ですね。
たとえば
His post went viral.
（彼の投稿がバズった）
I hope it goes viral.
（バズったらいいな）"
"「２４」を一気見しちゃった。","I binge-watched 24.","家の中 / 諺・おもしろ表現","過去のこと","「binge（ビンジ）」は「暴食する」、「暴飲する」という意味の動詞です。
そして「watch」とくっつけて「binge-watch（一気見する）」、
「read」とくっつけて「binge-read（一気読みする）」という英語もあります。
たとえば
I binge-watched Season 2.
（シーズン２を一気見した）
I’ve been binge-watching Hulu.
（最近Huluを観まくっている）
I binge-read Terraformers.
（テラフォーマーズを一気読みした）"
"冬休みの間、食べ過ぎちゃった。","I binged over the winter break.","レストラン・食べ物 / 健康・体調","過去のこと","「binge（ビンジ）」は「暴食する」又は「暴飲する」という意味の動詞です。
「やけ食い」というニュアンスで使うこともあります。
お正月休みで食べ過ぎたことを
「I binged over the winter break.」で言いましょう。
そして「binge on ~」という使い方もできます。
たとえば
I binged on fast food.
（ファストフードを暴食した）
I binged on ice cream after I broke up.
（別れた後アイスをやけ食いした）"
"シャツをズボンに入れなさい。","Tuck in your shirt.","ファッション・身だしなみ","","「シャツをズボンに入れる」は「tuck in your shirt」と言います。
「in to your pants（ズボンに）」のような言い方はしなくて「Tuck in your shirt.」で終わります。
「be tucked in（シャツがズボンに入っている）」と受け身の言い方もあります。
たとえば
My shirt is tucked in.
（シャツがちゃんとズボンに入っているよ）
Your shirt’s not tucked in.
（シャツが出ているよ）"
"成功するまで、成功しているフリをしろ。","Fake it till you make it.","キメの一言 / 仕事 / 諺・おもしろ表現","","これは決まり文句であり、よく聞くアドバイスでもあります。
成功している人に人が寄ってくるので、まずは成功しているフリをしておけば集客ができて後に本当に成功する、というイメージです。
「make it」は「成功する」という意味ですね。
たとえば
He made it in IT.
（IT業界で成功した）
She made it as a designer.
（デザイナーとして成功した）
「till」は「until（～まで）」の短縮形です。
「fake（フェーク）」は「偽物」という意味の名詞もありますが、「フリをする」、「成り済ます」という意味の動詞としても使います。
たとえば
I was faking it.
（そういうフリをしてただけ）
「fake it」と「make it」は韻を踏んでいるのですごくゴロのいい英語ですね。"
"彼は俳優として成功した。","He made it as an actor.","仕事","過去のこと","「make it」は「間に合う」という意味もありますが、「成功する」という意味でも使います。
そして「～業界で」なら「in ~」、
「～として」なら「as ~」を続けます。
たとえば
He made it in fashion.
（ファッション業界で成功した）
He made it as a designer.
（デザイナーとして成功した）
It’s hard to make it as a musician.
（ミュージシャンとして成功するのは難しい）"
"お支払い方法はどうなさいますか？","How will you be paying?","レストラン・食べ物 / 買い物","","お支払い方法は簡単に「how」と「pay」を使います。
この「will you be ~ing?」という言い方は時々使う未来形の言い方です。
「will」と進行形を合わせたものですが、特別に意味はなくより丁寧な言い方です。
たとえば
Will you be dining, tonight?
（食事はされますか？）
Will you be eating in?
（店内で召し上がりますか？）
How many people will be coming?
（何名様いらっしゃいますか？）"
"他に何かご注文はございますか？","Can I get you anything else?","レストラン・食べ物","","「Can I get you ~?（～をお持ちしましょうか？）」はウェーターがよく使う言い方です。
たとえば
Can I get you anything to drink?
（何かお飲み物はいかがですか？）
Can I get you another beer?
（ビールのおかわりはいかがですか？）
Can I get you some dessert?
（デザートはいかがですか？）
ちなみに「get」にはいろんな使い方があります！詳しくはこの動画をぜひ観てみてください^^"
"大晦日は何してたの？","What did you do for new year’s?","遊び","過去のこと","欧米では大晦日は派手に遊ぶ人が多くて、新年が明けてから「大晦日は何してたの？」という会話で盛り上がることも多い。
そして「new year’s eve」を「new year’s」に省略することが本当に多い。
new year
（新年）
new year’s
（大晦日）
は似ているけど使い分けるので注意しましょう。
他にも
How was your new year’s?
（大晦日はどうだったの？）
I didn’t do anything for new year’s.
（大晦日は特に何もしなかった）
It was the best new year’s ever!
（最高の大晦日だったよ）"
"ネットをやっていたら…","I was online and…","電話・パソコン","過去のこと","これは簡単そうでなかなか言えない英語です。「ネットサーフィン」などは古臭い言い方です。
「on the net」よりも「online」という言い方が自然ですね。
たとえば
We met online.
（ネットで出会った）
I bought it online.
（ネットで買った）
I haven’t been online recently.
（最近ネットやってない）"
